front,back,tags
"Angle of view — formula and the model it comes from","AOV = 2 · arctan( sensor_dimension / (2 · f) ). From the thin-lens PINHOLE model: sensor at the focal plane, lens as a point, half the sensor dimension over f is the tangent of the half-angle. Knowing the model tells you when it stops being true — fisheye uses a different projection entirely.",math optics
"Field of view width — formula and derivation","W = D · w / f. From SIMILAR TRIANGLES: the scene at distance D and the sensor at distance f subtend the same angle, so W/D = w/f.",math optics
"Why W = D·w/f is dimensionally sound despite mixing mm and ft","w/f is a ratio of two lengths in the SAME unit, so it is dimensionless. The millimetres cancel before the feet meet them. W inherits its unit entirely from D.",math optics
"The inverse FOV formula — and why it matters more","f = D · w / W_required. A calculator gives coverage from a lens you already chose; a designer starts from a coverage REQUIREMENT and needs the lens. The requirement comes first, the hardware second.",math optics
"Slant range — definition and formula","The true optical path from lens to target: sqrt( D² + (h_mount − h_target)² ). Use it instead of floor distance whenever mount height is a meaningful fraction of target distance.",math optics
"Which cameras does ignoring slant range hurt most, and in which direction?","INDOOR cameras, and any camera where mount height is a meaningful fraction of distance. Ignoring it OVERSTATES pixel density, because it computes scene width at a shorter distance than the light actually travels. A camera 12 ft up looking 8 ft away has a 10.6 ft slant range — 33% further than the floor distance.",math optics
"Depression angle — formula and why you care","arctan( (h_mount − h_target) / D ). A steep depression angle sees a forehead and a hat, not a face. Arithmetic can pass while the geometry has thrown the face away.",math optics
"Pixel density — both forms","PPF = px / W, and the combined form PPF = px · f / (D · w). The second is the first with W = D·w/f substituted in. Use it when you do not care about the scene width itself.",math optics
"Pixel density falls as 1/D. What falls as 1/D²?","ILLUMINANCE — the inverse square law for light. PPF is a LINEAR density (pixels per foot of a one-dimensional scene width), and scene width grows linearly with distance. Confusing them makes people believe doubling distance quarters usable resolution. It halves it.",math optics
"D_max ∝ px · f — what trades against what?","Resolution and focal length trade against each other FOR RANGE. They do NOT trade against each other for COVERAGE. More pixels widen range at fixed coverage; a longer lens narrows coverage to buy range.",math optics
"Maximum range for a DORI class — how to compute it","W_max = px / PPF_target, then D_max = W_max · f / w. Range scales LINEARLY with horizontal pixel count — 2688 → 3840 px is a 43% increase in range, not a doubling.",math optics
"DORI values in pixels per metre and per foot","[STANDARD] IEC 62676-4: Detect 25, Observe 62.5, Recognise 125, Identify 250 px/m. [VERIFY current edition] Per foot in practice: 8 / 19 / 38 / 76.",math optics
"Why is the per-foot DORI table not the exact metric conversion?","Exact conversions are 7.62 / 19.05 / 38.10 / 76.20. The table rounds to 8 / 19 / 38 / 76 — the values used in common practice — so your numbers match vendor datasheets and the room. Chasing 0.2 PPF of precision on a figure that is a minimum under GOOD conditions is false precision. The rounding is documented so you can undo it.",math optics
