device_id,device_type,description,level,room,room_name,zone,drawing,manufacturer,model,spec_section,mount_type,mount_height_ft,resolution_mp,lens_mm,frame_rate,retention_days,ppf_target,ppf_actual,controller,controller_input,controller_output,reader_interface,fail_state,door_number,poe_class,power_source,power_supply,current_draw_a,ip_address,mac_address,vlan,switch,switch_port,cable_id,cable_type,cable_length_ft,panel,status,serial_number,install_date,cx_status,requirement_ids,notes
CAM-1-101,CAM_DOME,Lobby entry overview,1,101,Main Lobby,2,SE-101,Acme,VD-4200,28 23 00,pendant,10,4,4.0,15,30,40,44.2,,,,,,,af,PoE,,,10.20.30.11,00:1A:2B:3C:4D:5E,30,SW-1-MDF,1,C-0101,Cat6A,180,MDF,NEW,,,PENDING,SEC-006,
CAM-1-102,CAM_DOME,Lobby reception desk,1,101,Main Lobby,2,SE-101,Acme,VD-4200,28 23 00,pendant,10,4,8.0,15,30,80,62.5,,,,,,,af,PoE,,,10.20.30.12,00:1A:2B:3C:4D:5F,30,SW-1-MDF,2,C-0102,Cat6A,190,MDF,NEW,,,PENDING,SEC-006,
CAM-1-102,CAM_DOME,Lobby north corridor,1,103,North Corridor,3,SE-101,Acme,VD-4200,28 23 00,pendant,10,4,4.0,15,30,20,28.6,,,,,,,af,PoE,,,10.20.30.13,00:1A:2B:3C:4D:60,30,SW-1-MDF,3,C-0103,Cat6A,210,MDF,NEW,,,PENDING,SEC-006,
CR-1-105,READER,Suite entry reader public side,1,105,Suite Entry,2,SE-101,Acme,RD-100,28 13 00,surface,42,,,,,,,ACP-1-MDF,,1,OSDP,,D-105,,Local 12VDC,PS-1-MDF,0.1,,,,,,C-0105,22/4 shielded,140,MDF,NEW,,,PENDING,SEC-003,
DPS-1-105,DPS,Suite entry door position,1,105,Suite Entry,2,SE-101,Acme,DC-200,28 13 00,recessed,84,,,,,,,ACP-1-MDF,1,,,,D-105,,Local 12VDC,PS-1-MDF,0,,,,,,C-0106,22/2,140,MDF,NEW,,,PENDING,SEC-001,
ES-1-105,STRIKE,Suite entry electric strike,1,105,Suite Entry,2,SE-101,Acme,ST-300,28 13 00,mortise,42,,,,,,,ACP-1-MDF,,1,,SECURE,D-105,,Local 24VDC,PS-1-MDF,0.35,,,,,,C-0107,18/2,140,MDF,NEW,,,PENDING,SEC-003,
CR-2-210,READER,Data room reader,2,210,Data Room,4,SE-102,Acme,RD-100,28 13 00,surface,42,,,,,,,ACP-2-IDF,,1,OSDP,,D-210,,Local 12VDC,PS-2-IDF,0.1,,,,,,C-0210,22/4 shielded,95,IDF-2,NEW,,,PENDING,SEC-005,
EM-2-210,MAGLOCK,Data room maglock,2,210,Data Room,4,SE-102,Acme,ML-600,28 13 00,surface,84,,,,,,,ACP-2-IDF,,2,,SECURE,D-210,,Local 24VDC,PS-2-IDF,0.5,,,,,,C-0211,18/2,95,IDF-2,NEW,,,PENDING,SEC-005,Fail state needs review
CAM-2-210,CAM_DOME,Data room door,2,210,Data Room,4,SE-102,Acme,VD-4200,28 23 00,pendant,9,4,6.0,15,90,80,,,,,,,,af,PoE,,,10.20.30.11,00:1A:2B:3C:4D:61,30,SW-2-IDF,1,C-0212,Cat6A,110,IDF-2,NEW,,,PENDING,SEC-006,
CR-3-315,READER,Executive suite reader,3,315,Exec Suite,3,SE-103,Acme,RD-100,28 13 00,surface,42,,,,,,,ACP-3-IDF,,1,OSDP,,D-315,,Local 12VDC,PS-3-IDF,0.1,,,,,,C-0315,22/4 shielded,120,IDF-3,NEW,,,PENDING,,
