front,back,tags
"The imaging chain — the eight links in order","Scene/light -> lens -> sensor -> ISP -> encoder -> network -> recorder -> display/operator. Information only ever DECREASES along it. No stage can add information an earlier stage discarded.",imaging-chain
"Which imaging-chain link is usually binding, and which do clients buy?","Binding: link [1], LIGHT. Bought: link [3], sensor resolution. Optimising a stage that is not the bottleneck changes nothing.",imaging-chain
"Link [1] — what can scene/light destroy that nothing downstream restores?","Photons that never arrived. Gain amplifies signal AND noise; it does not create signal. Backlight compensation trades the background away — a choice, not a repair.",imaging-chain
"Link [3] — what can the sensor destroy irrecoverably?","Motion blur, clipped highlights (data is gone under the white), and noise. Denoising removes real texture along with grain.",imaging-chain
"Link [4] — what is the ISP and why does it matter?","The camera's automatic interpretation: exposure metering, white balance, WDR, noise reduction, sharpening. Two cameras with identical sensors and lenses differ markedly because of ISP tuning — and it is not comparable from a datasheet. This is why you evaluate by site shootout.",imaging-chain
"Prevents vs documents","A camera prevents nothing by itself; it produces a record. Video contributes to prevention only when it feeds TIMELY detection. An unmonitored camera is not a slow detector — it is not a detector. Say this to the client in the first meeting, in writing.",judgment
"Why doubling resolution does not fix a motion-blurred face","The smear and the facial feature are both physical lengths in the scene, so multiplying by pixel density scales both equally and the ratio cancels: (s x PPF)/(e x PPF) = s/e. Blur relative to detail is INVARIANT under resolution, lens, and distance.",exposure motion
"The only two ways to fix motion blur","A faster shutter (which requires light) or a slower subject (which requires a chokepoint — a door, turnstile, or queue). No amount of resolution or repositioning touches it.",exposure motion
"Aperture — the two things it controls","Light gathered (as 1/N-squared) and depth of field. It appears twice, pulling in opposite directions. That single fact is most of lens selection.",optics
"Light gathered vs f-number","Scales as 1/N^2, because aperture AREA collects photons. Each standard stop (1.4, 2, 2.8, 4, 5.6, 8) is a factor of root-2 in diameter and exactly HALF the light. f/1.4 to f/8 throws away 97%.",optics
"Depth of field vs focal length","Collapses roughly as 1/f^2. Quadruple the focal length and DOF falls by about sixteen. Invisible in FOV arithmetic, which is why it is missed.",optics
"Hyperfocal distance — formula and what it buys","H = f^2/(N.c) + f. Focus there and everything from H/2 to infinity is acceptably sharp — the deepest DOF available for that lens and aperture. Watch out: it maximises DOF toward infinity, pushing the NEAR limit further away.",optics
"Depth of field near and far limits","D_n = s(H-f)/(H+s-2f) and D_f = s(H-f)/(H-s), infinite when s >= H. All lengths in the same units; s is the focus distance.",optics
"Circle of confusion for surveillance","Tie it to pixel pitch, not the film-era convention. A defensible strict choice for identification work is 2 pixels — on a 1/2.8in sensor at 2688 px that is 0.00400 mm. ALWAYS state which you used: DOF figures are not comparable across different c.",optics
"Why one camera cannot do plate AND face at a vehicle entry","Two independent reasons. (i) The long lens plate capture needs has a DOF of a few feet — a 50 mm lens focused on a plate at 40 ft holds only 38.9-41.1 ft, so a face 7 ft back is outside focus at any aperture. (ii) The short exposure that freezes a moving plate underexposes a face.",optics design
"The f-number on a varifocal lens","The stated figure is the MAXIMUM aperture, at the WIDEST setting. A lens marked f/1.6-2.8 is f/2.8 at full telephoto — 1.6 stops less light exactly when you zoomed in for a distant, poorly lit target. [MFR][VERIFY]",optics
"The three free fixes on a retrofit, in order","1. Clean the dome (costs nothing, often the largest single improvement). 2. Re-focus the varifocal (a ladder). 3. Re-aim (a ladder, and fixes more backlight problems than any purchase). Do all three before quoting anything.",practice
"Turret vs dome indoors","A turret has NO bubble — so no light loss to an extra plastic layer, no IR bounce off it, and nothing to haze or scratch. Better image at the same price. Specify domes only where vandal resistance or aim discretion is genuinely needed.",form-factor
"When is an IR-corrected lens mandatory?","Whenever the camera uses IR illumination. IR focuses at a different distance from visible light, so an uncorrected lens goes soft precisely at night. [MFR][VERIFY]",optics
"Signal-to-noise vs photon count","SNR scales as the square root of N. Collect 4x the photons and the image gets 2x cleaner. This is physics, not engineering — no processing improves on it.",sensors
"Does gain improve SNR?","No. Gain amplifies signal and noise equally — it changes brightness, not information. What marketing calls low-light performance is mostly aggressive gain plus aggressive noise reduction.",sensors
"Cost of 2 MP -> 8 MP on a fixed sensor size","Photosite area falls to 0.250x — EXACTLY 2.00 stops of light lost per photosite. Buying resolution to fix a night image spends the very resource you were short of.",sensors exposure
"Sensor format vs low light at fixed resolution","At 2688 px: 1/2.8in gives 3.99 um^2 per photosite; 1/1.8in gives 7.17 um^2 (+0.85 stops); 1/1.2in gives 15.76 um^2 (+1.98 stops). Area beats megapixels.",sensors
"The exposure budget — what it is and why it works","Work in STOPS (factors of 2 in light). Shutter, aperture, gain, sensor area, and scene illuminance all convert to stops and can be added on one line. Vendor-independent, needs no sensor sensitivity data, and settles most low-light arguments in a page.",exposure
"How to derive the required shutter speed","From the MOTION in the scene, not from preference. Pick a smear budget (25% of eye-to-eye is defensible), convert to feet, divide by subject speed. A 3 mph walk with a 0.625 in budget needs 1/84 s -> standard 1/125 s.",exposure
"Motion smear at common shutter speeds (3 mph walk)","1/15 s = 3.52 in (141% of eye-to-eye, unusable). 1/30 s = 1.76 in (70%, unusable). 1/60 s = 0.88 in (35%, marginal). 1/125 s = 0.42 in (17%, good). 1/250 s = 0.21 in (8%).",exposure
"The only source of extra stops with no image penalty","Adding light to the scene. Wider aperture costs depth of field; gain costs noise; lower resolution costs pixel density; a bigger sensor costs money.",exposure
"How to specify lighting so it can be built and verified","Lux at a NAMED plane, with a uniformity ratio. E.g. 'minimum maintained 12.5 lux at 5 ft above finished floor, measured vertically facing the camera, max:min no worse than 4:1'. Never 'adequate lighting' — unbuildable and unverifiable at handover.",exposure practice
"Which two camera settings must be capped on an identification camera?","Maximum GAIN and slowest SHUTTER (maximum exposure time). Uncapped, the camera chooses a bright smeared noisy image over a dark sharp one — and a dark sharp image can be brightened in review, while a smeared one can never be unsmeared.",exposure practice
"True/multi-exposure WDR vs tone mapping","True WDR captures 2+ exposures per frame and blends — genuinely extends captured range, but MOTION ARTEFACTS appear exactly on moving subjects. Tone mapping remaps a single exposure — no artefacts, but adds NO information; crushed shadows stay crushed.",sensors
"The better fix than WDR","Geometry. Re-aim so the bright source is out of frame, move to shoot with the light rather than into it, or add light on the subject side. WDR is what you use when you could not fix the geometry — and re-aiming is free.",sensors design
"What IR illumination categorically cannot deliver","COLOUR. An IR image is monochrome, so 'suspect wore a red jacket' is unavailable — the most common descriptor in a witness statement. A real evidentiary loss that must be a stated, accepted decision.",sensors
"IR 850 nm vs 940 nm","850 nm: more efficient, better range, faint visible red glow. 940 nm: effectively invisible, roughly HALF the effective range for the same power. [MFR][VERIFY]",sensors
"IR failure modes to design around","Optimistic range claims (derate); hotspot and inverse-square falloff (use separately-mounted illuminators, not integrated rings); retroreflection from hi-vis vests and plates; dome bounce off the bubble; and spiders — IR draws insects, which draw webs directly in front of the lens.",sensors
"What thermal can and cannot do","Excellent at DETECTION — presence and movement at long range, no illumination, through smoke and light fog. It can NEVER identify anyone: no facial detail, no colour, no text, no plate. Pair it with a cued visible camera for assessment.",sensors
"Why datasheet lux ratings are not comparable","Vendors choose the conditions: video level (50% vs 30%), IR cut filter in or out, shutter as slow as 1/4 s, maximum gain, high-reflectance target, and the lens f-number. Design with the exposure budget instead, and demand a site shootout.",sensors
"DORI classes and the question each answers","Detect 8 ppf (25 px/m) — is something there? Observe 19 ppf (62.5) — what is it doing? Recognise 38 ppf (125) — is that someone I know? Identify 76 ppf (250) — who is that, to a stranger? [STANDARD] IEC 62676-4 [VERIFY]",dori
"Recognise vs identify — the real distinction","What the VIEWER brings. Recognise relies on the viewer already knowing the person; identify requires the image to stand alone. It is decided by viewer familiarity, NOT by how small the candidate set is.",dori judgment
"Why recognise vs identify is a legal distinction","Evidence is normally assessed by people who did not know the subject. A recognise-grade image can be sufficient for an employer's conversation with a named employee and insufficient to support prosecution of a stranger. [VERIFY — jurisdiction-dependent]",dori judgment
"The question that selects the DORI class","'If this ends up in front of someone who has never met the person on screen, does the image need to stand on its own?' Better than 'do you want to identify people?', which always gets a yes.",dori judgment
