front,back,tags
"Security systems do not prevent bad outcomes. They ___ and ___.","Buy TIME and produce INFORMATION. Test every device against this: what time does it buy, what information does it produce?",foundations core
"The four questions that begin every physical security problem","1. What are we protecting? 2. From whom? 3. Against what act? 4. What consequence are we reducing?",foundations core
"Threat vs Hazard","Threat = actor with INTENT and capability. Hazard = source of harm with NO intent (flood, fire, quake). Engineering consequence: hazards don't adapt; adversaries observe your countermeasures and change route.",foundations vocabulary
"Vulnerability (precise definition)","A weakness in protection that a SPECIFIC threat can exploit to reach an asset. Always state the threat pairing — 'is this fence adequate?' is unanswerable.",foundations vocabulary
"Consequence vs Impact","Consequence = direct outcome (the server is stolen). Impact = broader effect on the organization (SLA penalties, lost customers, public reporting). They scale differently.",foundations vocabulary
"Risk equation R = T x V x C — what is it good and bad for?","GOOD: forces you to identify all three factors, and shows that driving any one near zero drives risk near zero. BAD: producing a number — multiplying three order-of-magnitude estimates yields spurious precision.",foundations risk
"Who accepts residual risk?","The OWNER — the person accountable for the assets. Never you. Your job: identify, characterize, present clearly, recommend, and DOCUMENT the acceptance.",foundations risk
"The four risk treatment options","Avoid, Reduce/Mitigate, Transfer/Share, Accept. Insurance = transfer; it moves the FINANCIAL consequence only. It does not prevent the event, restore operations, protect people, or repair reputation.",foundations risk
"Effectiveness vs Assurance","Effectiveness = does it work? Assurance = how confident are we, and how do we know? An untested system has unknown effectiveness and ZERO assurance. This is the whole justification for commissioning.",foundations risk
"The six protection functions (D3ACR)","Deter, Detect, Delay, Assess, Respond, Recover.",foundations functions
"Timely detection inequality","(T_T - T_D) > T_R, i.e. T_A > T_R. Delay REMAINING AFTER detection must exceed response force time.",foundations functions calc
"Why is delay before detection nearly worthless?","The adversary consumes it while nobody knows they're there — they work at leisure with no time pressure. Delay only counts after detection.",foundations functions
"The three parts of a detection event","Sensor activation -> signal transmission -> annunciation to a human/system. Break any one and there is NO detection. A sensor tripping into an unmonitored panel has detected nothing.",foundations functions
"Pd vs NAR tradeoff — and why there's no magic setting","Raise sensitivity: Pd up, nuisance alarms up. Lower it: both down. No setting maximises both. Resolution is COMPLEMENTARY sensor technologies plus removing environmental nuisance sources — not a magic threshold.",foundations detection
"Why does a high nuisance alarm rate drive effective Pd to near zero?","The operator stops believing the system. Alarm fatigue is a RATIONAL response to a system that lies, not a human weakness to be trained away. A design generating alarms nobody believes is a failed design regardless of datasheet Pd.",foundations detection
"Three requirements for a camera to actually perform ASSESS","1. Covers the detection zone (not just the area). 2. Auto-called-up on alarm (no hunting among 300 cameras). 3. Enough image quality for the DECISION required.",foundations assess
"What happens when you deploy detection with no assessment?","Nuisance alarms -> unverified dispatches -> police deprioritise or fine -> staff bypass zones -> system effectively off within months. Often NET-NEGATIVE, not partially effective.",foundations assess
"Which protection function is most expensive, and why does it shape the industry?","RESPOND — a recurring salary line, not a capital cost. It's also the one that actually stops things. So everyone sells the cheap functions (deter, detect) instead.",foundations functions
"Does an unmonitored recorded camera detect?","No. It deters (secondary, only if visible and believed) and supports recover (primary). Detect and assess both require a human in the loop in real time.",foundations functions
"Why does the timely-detection model fail entirely for insiders?","An authorised insider trips nothing — T_D is effectively infinite for barrier-based detection. Insider detection is behavioural, procedural, and audit-based.",foundations insider
"Defense in depth — the three required properties of layers","SUCCESSIVE (in series along the path), INDEPENDENT (defeating one doesn't defeat others), and DETECTION AT EACH. Layers side by side are not depth.",foundations depth
"Things that silently collapse multiple layers into one","One master key, one credential, one access control server, one VLAN, one vendor admin account, one conduit.",foundations depth
"Balanced protection — and the stopping rule","All penetration paths through a boundary should present ~equal delay; the boundary's delay is the MINIMUM path, not the average. STOP hardening once the boundary meets the requirement from your timely-detection analysis — further hardening buys nothing measurable.",foundations depth
"The nine elements of a zone-integrity check","Walls (slab-to-slab?), ceiling (plenum path?), floor (raised/below?), doors, windows, penetrations (ducts/conduit/chases), roof, adjacencies (who's on the other side?), egress hardware (does required egress create an entry path?).",foundations zones
"Redundancy vs Diversity — and which beats a thinking adversary","Redundancy = second IDENTICAL thing (protects against random failure). Diversity = second DIFFERENT thing achieving the same function (protects against common-mode failure, environment, and DEFEAT). Rule: redundancy against failure, diversity against defeat.",foundations depth
"Graceful degradation — and why it must be specified at design time","System loses capability progressively, not totally (controllers keep deciding from a cached DB, buffer transactions, alarm locally). It's a PURCHASING decision (does the controller support it? buffer depth?) and a config decision — cheap at design, impossible to retrofit.",foundations depth
"Five common SPOFs in a security system","One head-end room; one switch per floor; one uplink/conduit; one power supply serving many doors; one server without failover. Plus the two people forget: one admin account, and one person who knows the system.",foundations spof
"The six CPTED strategies","Natural Surveillance, Natural Access Control, Territorial Reinforcement, Maintenance/Image, Activity Support, Target Hardening.",foundations cpted
"The 3-foot / 6-foot rule","Shrubs trimmed below ~3 ft, tree canopies raised above ~6-8 ft, preserving a clear visual band at human height. Serves NATURAL SURVEILLANCE.",foundations cpted
"Why is lighting UNIFORMITY more important than brightness?","Deep shadows adjacent to bright areas destroy both human and camera vision — the eye and the sensor adapt to the bright area. One very bright pole with dark gaps is worse than uniform moderate lighting. Specify avg:min ratios, not just footcandles.",foundations cpted lighting
"Why does CPTED list target hardening LAST?","Hardening can undermine the other five — bars on windows destroy natural surveillance and signal danger, reducing legitimate activity (the 'fortress effect'). It's also the most expensive risk reduction per dollar. Apply 1-5 first, harden the residual.",foundations cpted
"The 'convenience door' problem","An employee side entrance added for convenience becomes the de-facto main entrance, bypasses reception, and is propped daily. A door alarm cannot fix it — the controlled entrance isn't on the natural walking path. Design problems that manifest as behaviour problems can't be solved with hardware.",foundations cpted
"Four situations where CPTED provides little benefit","Insiders; determined/prepared adversaries; impaired or irrational offenders; remote or unoccupied sites (no one to do the surveilling). Also useless against vehicle-borne attack — that needs standoff.",foundations cpted
"The six properties of a good requirement","Specific, Testable, Traceable, Achievable, Unambiguous, Necessary.",foundations requirements
"The four requirement types — and which is most often omitted","Functional (what it does), Performance (how well), Operational (how it fits how people work), Constraint (what limits the solution). OPERATIONAL is most often omitted, and omitting it produces designs defeated by their own users.",foundations requirements
"Why must a performance requirement include a conditions clause?","Without it, it isn't testable. '60 PPF' is true SOMEWHERE in every camera's field of view. '60 PPF at the door plane across the full opening under design illumination' can be measured pass/fail.",foundations requirements
"Requirement vs Specification","Requirement = what must be ACHIEVED. Specification = one acceptable way to achieve it. Keep them separate, because when the specified product is discontinued mid-project the requirement tells you what a substitute must do.",foundations requirements
"shall / should / will / may","shall = mandatory. should = recommendation. will = statement of fact. may = permission. Universal in specification writing; violating it creates real contractual ambiguity.",foundations requirements
"The four requirement pathologies","1. Solution masquerading as a requirement ('we need a mantrap'). 2. Inherited requirement ('it's in our corporate standard'). 3. Unfalsifiable requirement ('comprehensive security'). 4. Orphan requirement (traces to no risk).",foundations requirements
"What does an RTM let you do during value engineering?","Show exactly which REQUIREMENTS — and therefore which RISKS — are being dropped by each cut. Converts a demoralising budget fight into an informed decision by the person entitled to make it.",foundations requirements
"The single most valuable elicitation question","'What happens at 3 a.m.?' Almost every design is validated against the daytime, staffed, everything-working case. Ask about nights, weekends, holidays, outages, and the day the guard called in sick.",foundations requirements
"The nine failure categories","1 Component, 2 Communication, 3 Power, 4 Software, 5 Configuration, 6 Human error, 7 Malicious, 8 Maintenance, 9 DESIGN. Category 9 is yours — and it's the hardest to see from inside, which is why design review exists.",foundations failure
"Why are most video-chain failures SILENT?","Nothing alarms: defocus, dirty dome, blocked view, drifted aim, over-aggressive noise reduction, shortened retention. The system reports 'online'. You discover it at the exact moment you needed the video. Hence health monitoring + periodic image verification are DESIGN requirements.",foundations failure video
"Five stages where 'card accepted but door doesn't unlock' can originate","Decision (controller offline/wrong access level), Output (relay/fuse/wire/voltage drop), Lock hardware (misaligned strike, binding latch), Power, and Configuration (schedule/shunt). Bisect the chain; don't swap parts.",foundations failure access
"'Success as a failure mode' — what is it?","Analytics tuned WELL generate 400 accurate alerts/day; a two-person SOC can't process them; the analytic gets disabled. The system worked; the sociotechnical system didn't. Always check alarm volume against operator capacity.",foundations failure
"The three interfaces that produce most emergent failures","Fire/security, IT/security, design/operations — because nobody owns both sides of any of them.",foundations failure
"The eight questions to ask of every design decision","1 What asset/threat/act? 2 Which protection function? 3 What if it fails, silently or noisily? 4 Power loss? Network loss? Fire alarm? 5 What must the operator do — at 3 a.m.? 6 How is it maintained, and can they reach it? 7 How will we know it works, in year four? 8 Is there a SIMPLER design?",foundations judgment
"Which of the eight questions most distinguishes senior engineers?","Q8 — is there a simpler design? Complexity is easy to add and nearly impossible to remove. Every device is something that breaks, must be documented, commissioned, maintained, and understood by whoever replaces you.",foundations judgment
"Security engineering vs security management","Engineering: HOW should the system be built? Output = drawings, specs, calculations. Management: WHAT should the organisation do? Output = policies, programs, budgets. Answering a management question with an engineering answer is the classic junior mistake.",foundations roles
"The fundamental asymmetry — and the counter-asymmetry you have","Defender must be right everywhere always; adversary must be right once somewhere. BUT: the adversary must be right at a time and place you can partly choose. CHOKEPOINTS are the engineer's leverage — funnel, then concentrate detection at the funnel.",foundations core
