front,back,tags
"The unit of design at a door","The OPENING = door(s) + frame + hardware set + wall condition + clearances. Not 'the door'. It is the unit that gets numbered, scheduled, specified, priced, ordered, installed, and inspected.",doors anatomy
"Welded frame vs KD frame","Welded: mitred and welded as one rigid unit, set before the wall is finished. KD (knock-down): ships flat, snaps onto a finished stud wall. KD is materially weaker and can often be worked loose. Welded at every opening with a security or fire function.",doors anatomy
"Deadlatch — what it does","The small plunger beside the main latch. When the door is closed it rides on the STRIKE FACE and blocks the main latch from being pushed back. Defeats the 'slip something past the latch' attack class.",doors anatomy
"Deadlatch — the silent failure","If the door is misaligned or the strike is mislocated, the plunger drops into the strike pocket instead of riding on the face. The latch is now defeatable and NOTHING VISIBLE tells you. Check it against the strike in the field.",doors anatomy
"Coordinator — what and where","On a pair with an OVERLAPPING astragal, forces the inactive leaf to close first. Without it the leaves close out of order and frequently NEITHER latches.",doors anatomy
"Why the closer is an access control component","An electrified lock only secures a door that is fully closed AND latched. A closer backed off because users complained leaves the door resting unlatched all day. The reader, controller, and audit log all work perfectly and the door is open.",doors anatomy
"What governs the delay value of an aluminum storefront entrance","The GLAZING, not the lock. Standard tempered glass is a few seconds. If delay is a requirement, the conversation is laminated glazing or security film — architectural and budget — not hardware.",doors anatomy
"Out-swinging exterior door: the one-line spec fix","NRP (non-removable pin) hinges or security studs. The barrels are on the unsecured side. Near-zero cost delta, closes an entire attack class, almost nobody catches it in review.",doors anatomy
"The handing convention","Stand on the OUTSIDE. Hinge left + swings away = LH. Hinge right + swings away = RH. Hinge left + swings toward you = LHR. Hinge right + swings toward you = RHR.",doors handing
"What 'reverse' means in LHR/RHR","The door swings TOWARD the person standing outside. That is the entire meaning. Nothing is backwards.",doors handing
"The #1 cause of handing errors","Not left/right confusion — standing on the WRONG SIDE. Two competent people get opposite answers if they disagree about which side is 'outside'. Always write down the side you stood on.",doors handing
"Handing vs swing vs secure side","Handing = physical chirality, set by the architecture, unchangeable. Swing = in/out, often a CODE constraint. Secure side = YOUR design decision, and the only one of the three you control.",doors handing
